source,name,year,rank,round,date_of_birth,age,current_team,league,scouting_report,team_fit,likely_to_play,position,city,team,analysis
Base,Nico Hischier,2017,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nolan Patrick,2017,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Miro Heiskanen,2017,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cale Makar,2017,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Elias Pettersson,2017,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cody Glass,2017,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Lias Andersson,2017,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Casey Mittelstadt,2017,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Michael Rasmussen,2017,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Owen Tippett,2017,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Gabriel Vilardi,2017,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Martin Necas,2017,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nicholas Suzuki,2017,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Callan Foote,2017,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Erik Brannstrom,2017,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Juuso Valimaki,2017,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Timothy Liljegren,2017,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Urho Vaakanainen,2017,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Josh Norris,2017,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Robert Thomas,2017,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Filip Chytil,2017,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kailer Yamamoto,2017,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,PierreOlivier Joseph,2017,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kristian Vesalainen,2017,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ryan Poehling,2017,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jake Oettinger,2017,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Morgan Frost,2017,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Shane Bowers,2017,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Henri Jokiharju,2017,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Eeli Tolvanen,2017,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Klim Kostin,2017,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Rasmus Dahlin,2018,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Andrei Svechnikov,2018,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jesperi Kotkaniemi,2018,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brady Tkachuk,2018,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Barrett Hayton,2018,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Filip Zadina,2018,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Quinton Hughes,2018,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Adam Boqvist,2018,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Vitali Kravtsov,2018,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Evan Bouchard,2018,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Oliver Wahlstrom,2018,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Noah Dobson,2018,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ty Dellandrea,2018,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Joel Farabee,2018,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Grigori Denisenko,2018,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Martin Kaut,2018,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ty Smith,2018,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Liam Foudy,2018,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jay OBrien,2018,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Rasmus Kupari,2018,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ryan Merkley,2018,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,KAndre Miller,2018,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Isac Lunderstrom,2018,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Filip Johansson,2018,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dominik Bokk,2018,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jacob BernardDocker,2018,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nicolas Beaudin,2018,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nils Lundkvist,2018,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Rasmus Sandin,2018,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Joseph Veleno,2018,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Alexander Alexeyev,2018,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jack Hughes,2019,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kaapo Kakko,2019,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kirby Dach,2019,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Bowen Byram,2019,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Alex Turcotte,2019,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Moritz Seider,2019,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dylan Cozens,2019,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Philip Broberg,2019,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Trevor Zegras,2019,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Vasili Podkolzin,2019,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
